,Place,Potential Exposure Window,Address,Details,Zone,Last Updated,Exposure area,Geolocation Address,Geolocation Address Coords,longitude,latitude
20,Let’s Ko,"Mon, 11/22/2021 - 16:15 to 18:00","30 Damascus Rd., Unit 110, Bedford",details,Central,11/25/2021 - 20:15,Let’s Ko,"Let’s Ko-30 Damascus Rd., Unit 110, Bedford","[{'address': '30 Damascus Rd, Bedford, Halifax, Nova Scotia, B4A 0C1', 'location': {'x': -63.64045523276572, 'y': 44.7500526740913}, 'score': 98.13, 'attributes': {'URL': '', 'address': '30 Damascus Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.64137996327522, 'ymin': 44.74835999361304, 'xmax': -63.639379963275225, 'ymax': 44.75035999361304}}]",-63.64045523276572,44.7500526740913
21,McDonald's,"Sun, 11/21/2021 - 18:30 to 20:30","272 Lacewood Dr., Halifax",details,Central,11/26/2021 - 18:24,McDonald's,"McDonald's-272 Lacewood Dr., Halifax","[{'address': ""McDonald's"", 'location': {'x': -63.65602997778294, 'y': 44.66243993003083}, 'score': 100, 'attributes': {'URL': 'https://www.mcdonalds.com/ca/en-ca.html', 'address': '272 Lacewood Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.660889999999945, 'ymin': 44.65715000000005, 'xmax': -63.65088999999994, 'ymax': 44.667150000000056}}, {'address': '272 Lacewood Dr, Halifax, Nova Scotia, B3M 3P6', 'location': {'x': -63.656033502731454, 'y': 44.66244284280684}, 'score': 96.9, 'attributes': {'URL': '', 'address': '272 Lacewood Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.65689000454912, 'ymin': 44.66114997910996, 'xmax': -63.654890004549124, 'ymax': 44.66314997910995}}]",-63.65602997778294,44.66243993003083
22,Chaba Thai,"Sun, 11/21/2021 - 16:30 to 20:30","1511 Bedford Hwy., Bedford",details,Central,11/25/2021 - 20:14,Chaba Thai,"Chaba Thai-1511 Bedford Hwy., Bedford","[{'address': '1511 Bedford Hwy, Bedford, Halifax, Nova Scotia, B4A 1E3', 'location': {'x': -63.65857506341233, 'y': 44.73142272081753}, 'score': 97, 'attributes': {'URL': '', 'address': '1511 Bedford Hwy', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.659499961559895, 'ymin': 44.730209988114986, 'xmax': -63.6574999615599, 'ymax': 44.73220998811498}}, {'address': '1511 Bedford Rd, Bedford, Texas, 76021', 'location': {'x': -97.14549863455468, 'y': 32.842686060614106}, 'score': 94.24, 'attributes': {'URL': '', 'address': '1511 Bedford Rd', 'City': 'Bedford', 'Country': 'USA'}, 'extent': {'xmin': -97.14649863455469, 'ymin': 32.84168606061411, 'xmax': -97.14449863455468, 'ymax': 32.843686060614104}}, {'address': 'Bedford Hwy, Bedford, Halifax, Nova Scotia, B4A 1B2', 'location': {'x': -63.67819271945237, 'y': 44.71671711782144}, 'score': 84.83, 'attributes': {'URL': '', 'address': 'Bedford Hwy', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.67919271945237, 'ymin': 44.71571711782144, 'xmax': -63.67719271945237, 'ymax': 44.71771711782144}}]",-63.65857506341233,44.73142272081753
23,Amherst Stadium,"Sun, 11/21/2021 - 15:15 to 17:30","185 Church St., Amherst",details,Northern,11/26/2021 - 18:30,Amherst Stadium,"Amherst Stadium-185 Church St., Amherst","[{'address': '185 Church St, Amherst, Nova Scotia, B4H 3C7', 'location': {'x': -64.19959120647978, 'y': 45.827543603175876}, 'score': 96.56, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20122001685586, 'ymin': 45.82585000068827, 'xmax': -64.19922001685585, 'ymax': 45.827850000688265}}, {'address': '185 Church St, Amherst, Virginia, 24521', 'location': {'x': -79.04957862346585, 'y': 37.58039635997977}, 'score': 95.63, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -79.05057862346585, 'ymin': 37.579396359979775, 'xmax': -79.04857862346584, 'ymax': 37.58139635997977}}, {'address': '185 Church St, Amherst, Ohio, 44001', 'location': {'x': -82.22495546946392, 'y': 41.39851356833839}, 'score': 95.63, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -82.22595546946393, 'ymin': 41.39751356833839, 'xmax': -82.22395546946392, 'ymax': 41.399513568338385}}, {'address': '185 Church St, Ellsworth, Maine, 04605', 'location': {'x': -68.41781199086648, 'y': 44.54540950186076}, 'score': 95.53, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Ellsworth', 'Country': 'USA'}, 'extent': {'xmin': -68.41881199086649, 'ymin': 44.54440950186076, 'xmax': -68.41681199086648, 'ymax': 44.54640950186076}}]",-64.19959120647978,45.827543603175876
24,North Shore Recreation Centre,"Sun, 11/21/2021 - 14:00 to 17:00","30 Blair Ave., Tatamagouche",details,Northern,11/26/2021 - 18:34,North Shore Recreation Centre,"North Shore Recreation Centre-30 Blair Ave., Tatamagouche","[{'address': '30 Blair Ave, Tatamagouche, Nova Scotia, B0K', 'location': {'x': -63.3006154947453, 'y': 45.71459473376829}, 'score': 94.58, 'attributes': {'URL': '', 'address': '30 Blair Ave', 'City': 'Tatamagouche', 'Country': 'CAN'}, 'extent': {'xmin': -63.30228998649367, 'ymin': 45.713080001094404, 'xmax': -63.300289986493674, 'ymax': 45.7150800010944}}]",-63.3006154947453,45.71459473376829
25,Yoka Japanese and Thai Restaurant,"Sun, 11/21/2021 - 13:00 to 15:00","911 Prince St #1, Truro",details,Northern,11/24/2021 - 20:02,Yoka Japanese and Thai Restaurant,"Yoka Japanese and Thai Restaurant-911 Prince St #1, Truro","[{'address': '911 Prince St, Truro, Nova Scotia, B2N 1H6', 'location': {'x': -63.27397780645358, 'y': 45.36437748715488}, 'score': 74.78, 'attributes': {'URL': '', 'address': '911 Prince St', 'City': 'Truro', 'Country': 'CAN'}, 'extent': {'xmin': -63.27496003681885, 'ymin': 45.363510005044056, 'xmax': -63.27296003681885, 'ymax': 45.36551000504405}}, {'address': 'Truro, Cornwall, England', 'location': {'x': -5.0510597409999605, 'y': 50.263318878000064}, 'score': 73, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'GBR'}, 'extent': {'xmin': -5.078059740999961, 'ymin': 50.23631887800006, 'xmax': -5.02405974099996, 'ymax': 50.290318878000065}}, {'address': 'Truro, Nova Scotia', 'location': {'x': -63.290179999999964, 'y': 45.366160000000036}, 'score': 73, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'CAN'}, 'extent': {'xmin': -63.33917999999996, 'ymin': 45.31716000000004, 'xmax': -63.241179999999964, 'ymax': 45.415160000000036}}, {'address': 'Restaurant, Capdenac-Gare, Aveyron, Occitanie', 'location': {'x': 2.0528000000000475, 'y': 44.56847000000005}, 'score': 70.07, 'attributes': {'URL': '', 'address': '', 'City': 'Capdenac-Gare', 'Country': 'FRA'}, 'extent': {'xmin': 2.0428000000000477, 'ymin': 44.55847000000005, 'xmax': 2.0628000000000473, 'ymax': 44.578470000000046}}, {'address': 'Truro, Massachusetts', 'location': {'x': -70.05011999999994, 'y': 41.993670000000066}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'USA'}, 'extent': {'xmin': -70.06011999999994, 'ymin': 41.98367000000007, 'xmax': -70.04011999999993, 'ymax': 42.003670000000064}}, {'address': 'Truro, South Australia', 'location': {'x': 139.12975000000006, 'y': -34.40957999999995}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'AUS'}, 'extent': {'xmin': 139.02675000000005, 'ymin': -34.51257999999995, 'xmax': 139.23275000000007, 'ymax': -34.30657999999995}}, {'address': 'Truro, Iowa', 'location': {'x': -93.84587999999997, 'y': 41.209820000000036}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'USA'}, 'extent': {'xmin': -93.85587999999997, 'ymin': 41.19982000000004, 'xmax': -93.83587999999996, 'ymax': 41.219820000000034}}, {'address': 'Truro, Illinois', 'location': {'x': -90.04238999999995, 'y': 40.95216000000005}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'USA'}, 'extent': {'xmin': -90.05238999999996, 'ymin': 40.94216000000005, 'xmax': -90.03238999999995, 'ymax': 40.96216000000005}}, {'address': 'Truro, North Dakota', 'location': {'x': -101.45041999999995, 'y': 48.69086000000004}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'USA'}, 'extent': {'xmin': -101.46041999999996, 'ymin': 48.680860000000045, 'xmax': -101.44041999999995, 'ymax': 48.70086000000004}}, {'address': 'Truro, Columbus, Ohio', 'location': {'x': -82.88424999999995, 'y': 39.93440000000004}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Columbus', 'Country': 'USA'}, 'extent': {'xmin': -82.89424999999996, 'ymin': 39.92440000000004, 'xmax': -82.87424999999995, 'ymax': 39.94440000000004}}, {'address': 'Truro, Modimolle-Mookgophong, Waterberg, Limpopo', 'location': {'x': 28.916710000000023, 'y': -24.621719999999982}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Modimolle-Mookgophong', 'Country': 'ZAF'}, 'extent': {'xmin': 28.90671000000002, 'ymin': -24.631719999999984, 'xmax': 28.926710000000025, 'ymax': -24.61171999999998}}, {'address': 'Truro, South Australia', 'location': {'x': 139.12731400200005, 'y': -34.40864999699994}, 'score': 70, 'attributes': {'URL': '', 'address': '', 'City': 'Truro', 'Country': 'AUS'}, 'extent': {'xmin': 138.92331400200004, 'ymin': -34.61264999699994, 'xmax': 139.33131400200006, 'ymax': -34.20464999699994}}]",-63.27397780645358,45.36437748715488
26,Pizza Delight,"Sun, 11/21/2021 - 13:00 to 15:30","4 Robert Angus Dr., Amherst",details,Northern,11/26/2021 - 18:32,Pizza Delight,"Pizza Delight-4 Robert Angus Dr., Amherst","[{'address': 'Pizza Delight', 'location': {'x': -64.20112005554248, 'y': 45.81353001889885}, 'score': 100, 'attributes': {'URL': 'http://www.pizzadelight.com', 'address': '4 Robert Angus Dr', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20646999999997, 'ymin': 45.80880000000007, 'xmax': -64.19646999999998, 'ymax': 45.818800000000074}}, {'address': '4 Robert Angus Dr, Amherst, Nova Scotia, B4H 4R7', 'location': {'x': -64.20112543003694, 'y': 45.813535305584615}, 'score': 96.36, 'attributes': {'URL': '', 'address': '4 Robert Angus Dr', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20247001007641, 'ymin': 45.81280000608684, 'xmax': -64.2004700100764, 'ymax': 45.814800006086834}}]",-64.20112005554248,45.81353001889885
27,Pür and Simple,"Sun, 11/21/2021 - 07:00 to 08:45","6140 Young St., Halifax",details,Central,11/26/2021 - 18:26,Pür and Simple,"Pür and Simple-6140 Young St., Halifax","[{'address': '6140 Young St, Halifax, Nova Scotia, B3K 0G2', 'location': {'x': -63.604791575858634, 'y': 44.65776578274445}, 'score': 96, 'attributes': {'URL': '', 'address': '6140 Young St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.60533995891564, 'ymin': 44.656469985381456, 'xmax': -63.60333995891565, 'ymax': 44.65846998538145}}]",-63.604791575858634,44.65776578274445
28,The Press Gang Restaurant & Oyster Bar,"Sat, 11/20/2021 - 22:15 to Sun, 11/21/2021 - 01:30","5218 Prince Street, Halifax",details,Central,11/24/2021 - 19:59,The Press Gang Restaurant & Oyster Bar,"The Press Gang Restaurant & Oyster Bar-5218 Prince Street, Halifax","[{'address': 'Press Gang', 'location': {'x': -63.57454998167811, 'y': 44.64710993782111}, 'score': 98.32, 'attributes': {'URL': 'http://thepressgang.net/', 'address': '5218 Prince St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57950999999998, 'ymin': 44.64202000000005, 'xmax': -63.56950999999997, 'ymax': 44.65202000000006}}, {'address': '5218 Prince St, Halifax, Nova Scotia, B3J 0B1', 'location': {'x': -63.57455310578204, 'y': 44.64710299607696}, 'score': 94.26, 'attributes': {'URL': '', 'address': '5218 Prince St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.575510022799726, 'ymin': 44.64602001523554, 'xmax': -63.57351002279973, 'ymax': 44.64802001523554}}]",-63.57454998167811,44.64710993782111
29,Steak and Stein,"Sat, 11/20/2021 - 19:30 to 21:15","6061 Young St., Halifax",details,Central,11/26/2021 - 18:23,Steak and Stein,"Steak and Stein-6061 Young St., Halifax","[{'address': 'Steak & Stein', 'location': {'x': -63.603720071123, 'y': 44.658650077759546}, 'score': 100, 'attributes': {'URL': 'https://steakandstein.ca/locations/', 'address': '6061 Young St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.60946999999994, 'ymin': 44.654140000000034, 'xmax': -63.59946999999993, 'ymax': 44.66414000000004}}, {'address': '6061 Young St, Halifax, Nova Scotia, B3K 2A3', 'location': {'x': -63.60372807998401, 'y': 44.658654264481214}, 'score': 95.81, 'attributes': {'URL': '', 'address': '6061 Young St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.606469962233895, 'ymin': 44.657139995770116, 'xmax': -63.60246996223389, 'ymax': 44.66113999577012}}]",-63.603720071123,44.658650077759546
30,Halifax Convention Centre - Convention Hall level,"Sat, 11/20/2021 - 19:00 to 23:00","1650 Argyle Street, Halifax",details,Central,11/22/2021 - 19:39,Halifax Convention Centre - Convention Hall level,"Halifax Convention Centre - Convention Hall level-1650 Argyle Street, Halifax","[{'address': 'Halifax Convention Centre', 'location': {'x': -63.57457005496556, 'y': 44.646599948929584}, 'score': 97.08, 'attributes': {'URL': 'https://www.halifaxconventioncentre.com', 'address': '1650 Argyle St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57968999999998, 'ymin': 44.641580000000026, 'xmax': -63.56968999999997, 'ymax': 44.65158000000003}}, {'address': '1650 Argyle St, Halifax, Nova Scotia, B3J 0E6', 'location': {'x': -63.57458177189092, 'y': 44.64659442410181}, 'score': 94, 'attributes': {'URL': '', 'address': '1650 Argyle St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57568998226089, 'ymin': 44.645580007228354, 'xmax': -63.573689982260895, 'ymax': 44.64758000722835}}]",-63.57457005496556,44.646599948929584
31,"Scotiabank Centre - section 8 – seats 1-12 in rows E, F, G, H, J","Sat, 11/20/2021 - 18:30 to 23:00","1800 Argyle St., Halifax",details,Central,11/24/2021 - 20:01,"Scotiabank Centre - section 8 – seats 1-12 in rows E, F, G, H, J","Scotiabank Centre - section 8 – seats 1-12 in rows E, F, G, H, J-1800 Argyle St., Halifax","[{'address': 'Scotiabank Centre', 'location': {'x': -63.57557002279387, 'y': 44.648539963356335}, 'score': 96.94, 'attributes': {'URL': 'http://www.halifaxmetrocentre.com/', 'address': '1800 Argyle St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.58093999999995, 'ymin': 44.643460000000054, 'xmax': -63.57093999999994, 'ymax': 44.65346000000006}}, {'address': '1800 Argyle St, Halifax, Nova Scotia, B3J 3N8', 'location': {'x': -63.57558190057787, 'y': 44.64853449941076}, 'score': 94.35, 'attributes': {'URL': '', 'address': '1800 Argyle St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.576939975481444, 'ymin': 44.64745998429155, 'xmax': -63.57493997548145, 'ymax': 44.649459984291546}}]",-63.57557002279387,44.648539963356335
32,Amherst Stadium,"Sat, 11/20/2021 - 18:30 to 20:30","185 Church St., Amherst",details,Northern,11/26/2021 - 18:28,Amherst Stadium,"Amherst Stadium-185 Church St., Amherst","[{'address': '185 Church St, Amherst, Nova Scotia, B4H 3C7', 'location': {'x': -64.19959120647978, 'y': 45.827543603175876}, 'score': 96.56, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20122001685586, 'ymin': 45.82585000068827, 'xmax': -64.19922001685585, 'ymax': 45.827850000688265}}, {'address': '185 Church St, Amherst, Virginia, 24521', 'location': {'x': -79.04957862346585, 'y': 37.58039635997977}, 'score': 95.63, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -79.05057862346585, 'ymin': 37.579396359979775, 'xmax': -79.04857862346584, 'ymax': 37.58139635997977}}, {'address': '185 Church St, Amherst, Ohio, 44001', 'location': {'x': -82.22495546946392, 'y': 41.39851356833839}, 'score': 95.63, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -82.22595546946393, 'ymin': 41.39751356833839, 'xmax': -82.22395546946392, 'ymax': 41.399513568338385}}, {'address': '185 Church St, Ellsworth, Maine, 04605', 'location': {'x': -68.41781199086648, 'y': 44.54540950186076}, 'score': 95.53, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Ellsworth', 'Country': 'USA'}, 'extent': {'xmin': -68.41881199086649, 'ymin': 44.54440950186076, 'xmax': -68.41681199086648, 'ymax': 44.54640950186076}}]",-64.19959120647978,45.827543603175876
33,Amherst Stadium,"Sat, 11/20/2021 - 18:00 to 21:30","185 Church St., Amherst",details,Northern,11/23/2021 - 09:42,Amherst Stadium,"Amherst Stadium-185 Church St., Amherst","[{'address': '185 Church St, Amherst, Nova Scotia, B4H 3C7', 'location': {'x': -64.19959120647978, 'y': 45.827543603175876}, 'score': 96.56, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20122001685586, 'ymin': 45.82585000068827, 'xmax': -64.19922001685585, 'ymax': 45.827850000688265}}, {'address': '185 Church St, Amherst, Virginia, 24521', 'location': {'x': -79.04957862346585, 'y': 37.58039635997977}, 'score': 95.63, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -79.05057862346585, 'ymin': 37.579396359979775, 'xmax': -79.04857862346584, 'ymax': 37.58139635997977}}, {'address': '185 Church St, Amherst, Ohio, 44001', 'location': {'x': -82.22495546946392, 'y': 41.39851356833839}, 'score': 95.63, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -82.22595546946393, 'ymin': 41.39751356833839, 'xmax': -82.22395546946392, 'ymax': 41.399513568338385}}, {'address': '185 Church St, Ellsworth, Maine, 04605', 'location': {'x': -68.41781199086648, 'y': 44.54540950186076}, 'score': 95.53, 'attributes': {'URL': '', 'address': '185 Church St', 'City': 'Ellsworth', 'Country': 'USA'}, 'extent': {'xmin': -68.41881199086649, 'ymin': 44.54440950186076, 'xmax': -68.41681199086648, 'ymax': 44.54640950186076}}]",-64.19959120647978,45.827543603175876
34,Riverside Pub & Eatery,"Sat, 11/20/2021 - 16:30 to 19:00","1552 Bedford Hwy, Bedford",details,Central,11/22/2021 - 19:39,Riverside Pub & Eatery,"Riverside Pub & Eatery-1552 Bedford Hwy, Bedford","[{'address': 'Riverside Pub & Eatery', 'location': {'x': -63.65648004501087, 'y': 44.73249004443408}, 'score': 100, 'attributes': {'URL': 'http://www.riversidepub.ca', 'address': '1552 Bedford Hwy', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.66198999999995, 'ymin': 44.72777000000007, 'xmax': -63.65198999999995, 'ymax': 44.737770000000076}}, {'address': '1552 Bedford Hwy, Bedford, Halifax, Nova Scotia, B4A 1E4', 'location': {'x': -63.656482353646645, 'y': 44.73249237739139}, 'score': 95.38, 'attributes': {'URL': '', 'address': '1552 Bedford Hwy', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.65798996170283, 'ymin': 44.731769986024496, 'xmax': -63.655989961702836, 'ymax': 44.73376998602449}}]",-63.65648004501087,44.73249004443408
35,Bowlarama Bayers Road,"Sat, 11/20/2021 - 12:45 to 15:30","3459 Desmond Ave, Halifax",details,Central,11/23/2021 - 20:10,Bowlarama Bayers Road,"Bowlarama Bayers Road-3459 Desmond Ave, Halifax","[{'address': '3459 Desmond Ave, Halifax, Nova Scotia, B3L 0A7', 'location': {'x': -63.62763259728791, 'y': 44.65579301801313}, 'score': 95.25, 'attributes': {'URL': '', 'address': '3459 Desmond Ave', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.62850997004448, 'ymin': 44.65479000052799, 'xmax': -63.62650997004449, 'ymax': 44.656790000527984}}]",-63.62763259728791,44.65579301801313
36,Easy Street Dinner,"Sat, 11/20/2021 - 12:30 to 15:00","3625 Dutch Village Road, Halifax",details,Central,11/23/2021 - 20:10,Easy Street Dinner,"Easy Street Dinner-3625 Dutch Village Road, Halifax","[{'address': '3625 Dutch Village Rd, Halifax, Nova Scotia, B3N 2T1', 'location': {'x': -63.63228757103544, 'y': 44.65827753984289}, 'score': 96.28, 'attributes': {'URL': '', 'address': '3625 Dutch Village Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.633199980147275, 'ymin': 44.65723998891668, 'xmax': -63.63119998014728, 'ymax': 44.659239988916674}}]",-63.63228757103544,44.65827753984289
37,Tim Horton's,"Sat, 11/20/2021 - 12:15 to 13:30","4484 Upper Main St., Oxford",details,Northern,11/24/2021 - 09:40,Tim Horton's,"Tim Horton's-4484 Upper Main St., Oxford","[{'address': '4484 Main St, Oxford, Nova Scotia, B0M', 'location': {'x': -63.88007534184466, 'y': 45.72506094272593}, 'score': 94.21, 'attributes': {'URL': '', 'address': '4484 Main St', 'City': 'Oxford', 'Country': 'CAN'}, 'extent': {'xmin': -63.88107534184466, 'ymin': 45.724060942725934, 'xmax': -63.87907534184466, 'ymax': 45.72606094272593}}, {'address': '4484 Main St, Oxford, Ohio, 45056', 'location': {'x': -84.66230019560567, 'y': 39.5025205336352}, 'score': 90.91, 'attributes': {'URL': '', 'address': '4484 Main St', 'City': 'Oxford', 'Country': 'USA'}, 'extent': {'xmin': -84.66330019560567, 'ymin': 39.5015205336352, 'xmax': -84.66130019560566, 'ymax': 39.503520533635196}}]",-63.88007534184466,45.72506094272593
38,Tim’s Barbershop,"Sat, 11/20/2021 - 11:00 to 12:30","211 S Albion St., Suite 104, Amherst",details,Northern,11/25/2021 - 20:13,Tim’s Barbershop,"Tim’s Barbershop-211 S Albion St., Suite 104, Amherst","[{'address': '211 S Albion St, Amherst, Nova Scotia, B4H 2X2', 'location': {'x': -64.20295343930047, 'y': 45.81280536754652}, 'score': 96.59, 'attributes': {'URL': '', 'address': '211 S Albion St', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20431997992625, 'ymin': 45.81173998870177, 'xmax': -64.20231997992624, 'ymax': 45.81373998870176}}, {'address': '211 Albion St, Amherst, Nova Scotia, B4H', 'location': {'x': -64.20828364620981, 'y': 45.82629888293044}, 'score': 94.89, 'attributes': {'URL': '', 'address': '211 Albion St', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.20928364620981, 'ymin': 45.82529888293044, 'xmax': -64.2072836462098, 'ymax': 45.827298882930435}}]",-64.20295343930047,45.81280536754652
39,The YWCA of Cumberland,"Sat, 11/20/2021 - 11:00 to 13:15","92 Church St., Amherst",details,Northern,11/24/2021 - 09:40,The YWCA of Cumberland,"The YWCA of Cumberland-92 Church St., Amherst","[{'address': '92 Church St, Springhill, Cumberland, Nova Scotia, B0M', 'location': {'x': -64.0568390887998, 'y': 45.64476817958599}, 'score': 96.1, 'attributes': {'URL': '', 'address': '92 Church St', 'City': 'Cumberland', 'Country': 'CAN'}, 'extent': {'xmin': -64.05783908879981, 'ymin': 45.64376817958599, 'xmax': -64.0558390887998, 'ymax': 45.645768179585986}}, {'address': '92 Church St, Wallace, Cumberland, Nova Scotia, B0K', 'location': {'x': -63.46846094015673, 'y': 45.81335681646413}, 'score': 96.1, 'attributes': {'URL': '', 'address': '92 Church St', 'City': 'Cumberland', 'Country': 'CAN'}, 'extent': {'xmin': -63.46946094015673, 'ymin': 45.81235681646413, 'xmax': -63.467460940156734, 'ymax': 45.81435681646413}}, {'address': '92 Church St, Amherst, Nova Scotia, B4H 3B2', 'location': {'x': -64.20888841348169, 'y': 45.831626260574886}, 'score': 94.72, 'attributes': {'URL': '', 'address': '92 Church St', 'City': 'Amherst', 'Country': 'CAN'}, 'extent': {'xmin': -64.21030997834369, 'ymin': 45.83026001627383, 'xmax': -64.2063099783437, 'ymax': 45.83426001627384}}, {'address': '92 Church St, Amherst, New Hampshire, 03031', 'location': {'x': -71.62762105374473, 'y': 42.864471210217324}, 'score': 94.72, 'attributes': {'URL': '', 'address': '92 Church St', 'City': 'Amherst', 'Country': 'USA'}, 'extent': {'xmin': -71.62862105374474, 'ymin': 42.86347121021733, 'xmax': -71.62662105374473, 'ymax': 42.86547121021732}}, {'address': '92 Church St, Ellsworth, Maine, 04605', 'location': {'x': -68.41888153020732, 'y': 44.54504484085747}, 'score': 94.62, 'attributes': {'URL': '', 'address': '92 Church St', 'City': 'Ellsworth', 'Country': 'USA'}, 'extent': {'xmin': -68.41988153020732, 'ymin': 44.544044840857474, 'xmax': -68.41788153020731, 'ymax': 44.54604484085747}}, {'address': '92 Church Ln, Ellsworth, Maine, 04605', 'location': {'x': -68.4508952779873, 'y': 44.712544759638945}, 'score': 91.93, 'attributes': {'URL': '', 'address': '92 Church Ln', 'City': 'Ellsworth', 'Country': 'USA'}, 'extent': {'xmin': -68.4518952779873, 'ymin': 44.71154475963895, 'xmax': -68.4498952779873, 'ymax': 44.71354475963894}}, {'address': '92 Church St, Pugwash, Nova Scotia, B0K', 'location': {'x': -63.65845819401752, 'y': 45.8524017184946}, 'score': 84.43, 'attributes': {'URL': '', 'address': '92 Church St', 'City': 'Pugwash', 'Country': 'CAN'}, 'extent': {'xmin': -63.65945819401752, 'ymin': 45.8514017184946, 'xmax': -63.65745819401752, 'ymax': 45.853401718494595}}, {'address': '92 Church St, Parrsboro, Nova Scotia, B0M', 'location': {'x': -64.3244567096252, 'y': 45.404519655623105}, 'score': 84.43, 'attributes': {'URL': '', 'address': '92 Church St', 'City': 'Parrsboro', 'Country': 'CAN'}, 'extent': {'xmin': -64.3254567096252, 'ymin': 45.40351965562311, 'xmax': -64.32345670962519, 'ymax': 45.4055196556231}}]",-64.0568390887998,45.64476817958599
